date,product,region,revenue,units_sold,marketing_spend
2025-12-18,Headphones,Europe,4278.61,30,1086.39
2025-12-18,Headphones,Europe,8333.86,58,1873.57
2025-12-18,Tablet,Europe,8206.83,13,1607.28
2025-12-18,Headphones,Middle East,7576.92,48,1670.29
2025-12-19,Tablet,India,5908.21,11,934.73
2025-12-19,Phone,US,5086.42,7,618.29
2025-12-19,Phone,India,15527.75,23,2780.78
2025-12-19,Phone,Middle East,1837.73,2,297.8
2025-12-19,Laptop,US,11375.74,7,2654.73
2025-12-19,Phone,Asia,1817.54,2,271.73
2025-12-19,Tablet,Europe,11843.18,28,2722.4
2025-12-19,Phone,Asia,10094.9,17,2005.78
2025-12-20,Tablet,Asia,3793.41,8,611.54
2025-12-20,Laptop,Asia,7897.99,6,2004.26
2025-12-21,Tablet,Asia,10592.12,24,1305.6
2025-12-22,Phone,US,13233.33,20,1703.49
2025-12-22,Phone,Europe,1313.64,2,576.82
2025-12-22,Laptop,US,18255.93,13,2589.96
2025-12-22,Tablet,India,1000.0,2,203.87
2025-12-22,Phone,Europe,13546.78,20,2698.71
2025-12-22,Smartwatch,Europe,2647.07,10,1075.22
2025-12-23,Phone,US,4732.21,7,701.99
2025-12-23,Laptop,Europe,9985.4,7,2712.93
2025-12-23,Smartwatch,Asia,5978.61,23,881.21
2025-12-23,Laptop,Europe,5498.92,3,912.58
2025-12-23,Laptop,Middle East,11926.47,9,1806.99
2025-12-24,Tablet,Asia,5124.56,10,1426.43
2025-12-24,Tablet,Asia,5072.12,11,1466.53
2025-12-25,Headphones,Europe,2821.99,21,704.85
2025-12-25,Phone,Asia,12580.74,15,1627.85
2025-12-25,Phone,Asia,13109.19,20,3141.87
2025-12-25,Tablet,Asia,4859.06,9,887.38
2025-12-25,Smartwatch,India,6684.41,24,1528.41
2025-12-26,Tablet,US,4496.04,9,760.46
2025-12-27,Phone,US,8917.49,14,1469.31
2025-12-27,Tablet,India,2176.27,4,604.12
2025-12-27,Headphones,Middle East,6916.77,48,1112.02
2025-12-27,Phone,Middle East,27173.1,35,5147.7
2025-12-27,Laptop,Asia,14865.26,11,1784.82
2025-12-27,Laptop,India,5014.15,4,989.93
2025-12-27,Laptop,Asia,3123.51,2,662.47
2025-12-28,Laptop,Middle East,2814.02,2,400.45
2025-12-28,Phone,Middle East,12171.5,19,1829.99
2025-12-28,Phone,Asia,10595.4,13,1988.35
2025-12-28,Phone,Middle East,8921.85,12,2422.87
2025-12-28,Smartwatch,US,4818.17,16,1068.96
2025-12-28,Headphones,Asia,3170.53,23,511.02
2025-12-28,Laptop,US,7807.35,6,1395.76
2025-12-28,Smartwatch,India,11604.18,34,2074.01
2025-12-28,Tablet,Asia,5346.2,12,604.71
2025-12-28,Laptop,US,7804.1,6,897.35
2025-12-29,Laptop,Middle East,11586.01,8,2027.18
2025-12-29,Phone,US,3041.0,4,612.24
2025-12-30,Phone,Asia,15249.09,18,2258.52
2025-12-30,Tablet,India,2011.91,4,383.52
2025-12-30,Tablet,Asia,15716.59,33,3091.51
2025-12-30,Phone,Middle East,5087.09,6,1126.48
2025-12-30,Smartwatch,India,10239.91,35,1426.09
2025-12-30,Headphones,Europe,7371.59,56,1856.07
2025-12-31,Phone,Asia,6199.17,10,936.39
2025-12-31,Smartwatch,Europe,5993.28,23,1663.99
2025-12-31,Smartwatch,India,1718.89,5,319.34
2025-12-31,Smartwatch,Europe,1448.74,4,420.42
2026-01-01,Phone,Europe,14316.89,22,2595.6
2026-01-01,Headphones,Middle East,4716.78,31,932.34
2026-01-01,Laptop,Middle East,3700.49,2,508.9
2026-01-01,Headphones,US,8118.19,49,1870.57
2026-01-02,Smartwatch,India,3702.32,12,970.72
2026-01-02,Tablet,Middle East,2201.86,4,387.48
2026-01-02,Headphones,US,2172.61,14,453.8
2026-01-02,Smartwatch,India,6385.75,20,1849.21
2026-01-03,Headphones,Asia,8893.87,48,2281.48
2026-01-03,Laptop,Middle East,14877.81,10,1984.48
2026-01-03,Phone,Middle East,24180.12,36,2898.96
2026-01-03,Laptop,Asia,6013.28,4,1158.16
2026-01-04,Smartwatch,Europe,4459.6,13,1007.55
2026-01-04,Phone,Asia,12987.73,17,1930.83
2026-01-05,Laptop,Europe,12873.75,9,1954.8
2026-01-05,Phone,India,8789.62,13,2265.54
2026-01-05,Tablet,US,7097.45,14,1137.85
2026-01-06,Smartwatch,Europe,2242.46,7,791.9
2026-01-06,Smartwatch,Middle East,7029.92,27,1244.66
2026-01-06,Phone,India,27100.51,36,4982.9
2026-01-06,Smartwatch,India,3993.35,13,943.25
2026-01-06,Tablet,US,6223.81,13,1017.02
2026-01-07,Laptop,US,2182.32,1,620.99
2026-01-07,Headphones,Middle East,2058.44,13,662.73
2026-01-08,Laptop,US,9435.67,6,1647.25
2026-01-08,Laptop,Middle East,7975.91,6,1256.26
2026-01-08,Headphones,Europe,5589.75,34,1191.16
2026-01-08,Phone,Europe,13449.44,16,2808.64
2026-01-08,Phone,Asia,1000.0,1,177.46
2026-01-08,Laptop,US,8531.61,6,1492.14
2026-01-08,Phone,Middle East,13095.53,16,1827.89
2026-01-09,Laptop,US,28696.86,23,4099.55
2026-01-09,Tablet,US,13528.31,28,1844.63
2026-01-10,Headphones,Asia,5269.12,42,798.56
2026-01-10,Headphones,India,3088.31,24,807.49
2026-01-10,Headphones,India,2255.29,15,749.44
2026-01-11,Headphones,Middle East,6073.95,36,1149.2
2026-01-11,Tablet,India,9809.22,17,1800.49
2026-01-11,Phone,Asia,4078.72,5,762.44
2026-01-11,Laptop,US,14493.33,10,1754.69
2026-01-12,Laptop,Asia,9507.55,6,1660.67
2026-01-12,Phone,Middle East,6807.32,9,1365.25
2026-01-12,Laptop,Europe,3674.2,2,1156.07
2026-01-12,Laptop,Asia,1849.64,1,678.07
2026-01-12,Headphones,US,6395.79,37,1355.84
2026-01-12,Smartwatch,Asia,4345.0,12,614.08
2026-01-12,Tablet,India,5496.25,9,1816.24
2026-01-12,Phone,Europe,6311.29,10,982.68
2026-01-13,Phone,US,2614.33,4,467.81
2026-01-13,Smartwatch,Europe,10824.97,33,2023.28
2026-01-14,Smartwatch,India,2387.88,7,786.0
2026-01-14,Phone,Asia,6039.18,8,1039.49
2026-01-15,Tablet,Asia,2384.05,4,422.36
2026-01-15,Phone,Asia,12341.61,21,2530.65
2026-01-15,Phone,India,4639.1,7,878.24
2026-01-15,Phone,Middle East,6983.25,10,1018.69
2026-01-15,Phone,Europe,3559.31,6,534.62
2026-01-16,Smartwatch,US,10866.25,33,1788.31
2026-01-16,Tablet,US,8380.78,18,1757.64
2026-01-16,Laptop,US,3833.05,3,723.62
2026-01-16,Headphones,Middle East,1789.92,11,808.35
2026-01-16,Smartwatch,Europe,6933.57,25,2093.74
2026-01-17,Smartwatch,US,1667.4,5,273.59
2026-01-17,Phone,India,29841.38,39,5473.07
2026-01-17,Laptop,India,9431.62,5,1152.24
2026-01-17,Phone,India,4069.72,6,713.25
2026-01-17,Phone,Asia,4343.5,7,780.26
2026-01-18,Phone,India,18740.63,31,2051.02
2026-01-18,Tablet,India,5418.14,11,1532.59
2026-01-18,Laptop,US,17990.12,14,2661.12
2026-01-18,Phone,Asia,9806.59,16,1427.48
2026-01-18,Phone,Asia,6987.34,9,1165.0
2026-01-18,Laptop,Middle East,1457.99,1,356.53
2026-01-18,Phone,Middle East,8828.21,11,1462.21
2026-01-19,Laptop,Europe,3939.61,3,935.87
2026-01-19,Phone,India,11223.28,19,2022.44
2026-01-20,Phone,Asia,23448.55,29,2704.96
2026-01-20,Laptop,Middle East,8859.64,6,1613.03
2026-01-21,Tablet,Middle East,4810.37,10,1575.2
2026-01-21,Phone,Middle East,9061.62,13,1621.49
2026-01-22,Phone,Middle East,9201.48,13,1778.54
2026-01-22,Phone,Middle East,4633.01,6,1321.96
2026-01-22,Smartwatch,Asia,4508.69,12,1176.68
2026-01-23,Laptop,Asia,10290.36,6,2852.63
2026-01-23,Tablet,Middle East,4392.56,7,1489.94
2026-01-23,Smartwatch,Middle East,3119.39,11,964.19
2026-01-23,Phone,India,6627.99,8,988.09
2026-01-23,Smartwatch,Middle East,5418.72,21,1081.52
2026-01-23,Tablet,India,9866.41,20,2195.79
2026-01-23,Phone,Europe,8351.56,13,1841.85
2026-01-24,Laptop,Asia,1000.0,1,178.36
2026-01-24,Headphones,Europe,3158.68,22,1073.4
2026-01-24,Laptop,Europe,3194.74,3,804.74
2026-01-24,Smartwatch,US,16218.11,45,2399.03
2026-01-24,Laptop,India,3090.56,2,782.16
2026-01-24,Headphones,Middle East,3979.77,30,974.89
2026-01-24,Laptop,India,3107.46,2,849.44
2026-01-25,Headphones,India,6175.3,34,1600.5
2026-01-25,Tablet,US,7712.72,15,1156.43
2026-01-25,Phone,Middle East,8932.54,11,1363.73
2026-01-26,Phone,Middle East,4846.4,7,1206.63
2026-01-26,Phone,India,10207.98,13,2174.2
2026-01-26,Phone,US,12265.75,20,1577.27
2026-01-26,Phone,Europe,3471.18,6,657.68
2026-01-26,Tablet,Middle East,4417.0,10,571.32
2026-01-26,Laptop,Middle East,5714.24,4,1653.43
2026-01-26,Headphones,US,3287.66,25,672.77
2026-01-26,Smartwatch,Europe,4653.15,14,1151.24
2026-01-26,Tablet,Europe,2321.07,5,497.89
2026-01-26,Headphones,Asia,3269.9,24,885.51
2026-01-26,Headphones,Europe,4746.51,35,933.28
2026-01-26,Laptop,US,3451.7,2,624.98
2026-01-27,Phone,US,22453.92,29,3015.25
2026-01-27,Phone,Europe,23462.48,32,3897.07
2026-01-27,Phone,Asia,10939.93,17,2285.04
2026-01-27,Phone,Europe,5055.72,6,1644.57
2026-01-28,Phone,Middle East,17073.2,27,3422.74
2026-01-28,Smartwatch,Middle East,14046.65,42,2106.92
2026-01-28,Headphones,Europe,2133.74,12,562.57
2026-01-28,Phone,US,5274.33,6,1136.36
2026-01-29,Phone,Asia,9025.53,10,1855.56
2026-01-29,Phone,US,11387.67,16,1600.15
2026-01-30,Laptop,US,13485.81,8,2003.13
2026-01-30,Laptop,Asia,19282.44,15,3088.03
2026-01-30,Headphones,India,3531.62,24,774.54
2026-01-31,Phone,India,10678.96,13,1617.67
2026-01-31,Headphones,US,4468.18,32,659.34
2026-01-31,Smartwatch,Asia,5410.14,21,1346.71
2026-01-31,Phone,India,4072.23,6,628.71
2026-02-01,Headphones,India,2508.81,14,851.0
2026-02-01,Tablet,India,9450.36,22,1706.62
2026-02-02,Laptop,India,1994.16,1,531.49
2026-02-02,Laptop,India,19022.77,11,2421.35
2026-02-02,Headphones,Europe,11085.87,61,2184.34
2026-02-03,Tablet,Europe,6078.56,12,1833.48
2026-02-03,Headphones,US,11001.9,63,2260.54
2026-02-03,Smartwatch,US,6497.05,25,1311.17
2026-02-03,Tablet,India,8289.88,16,1863.2
2026-02-04,Smartwatch,US,10817.29,42,2314.58
2026-02-04,Tablet,Europe,6568.94,13,1240.46
2026-02-04,Tablet,Middle East,7436.0,13,2327.71
2026-02-04,Tablet,India,9605.49,16,1714.8
2026-02-05,Phone,US,8946.74,13,1254.56
2026-02-05,Headphones,US,3712.04,27,901.61
2026-02-05,Laptop,Asia,5111.64,4,1425.05
2026-02-05,Laptop,Middle East,12726.7,8,2418.14
2026-02-05,Smartwatch,Europe,5075.2,15,1550.81
2026-02-06,Phone,US,6021.18,7,817.47
2026-02-06,Laptop,Asia,17085.01,12,3277.73
2026-02-06,Tablet,India,17757.31,29,2753.29
2026-02-07,Headphones,India,2351.73,15,540.9
2026-02-08,Laptop,US,15332.46,11,1841.26
2026-02-08,Headphones,India,4339.43,34,1120.84
2026-02-08,Headphones,Asia,14346.85,88,2276.35
2026-02-08,Phone,Middle East,3638.39,5,811.2
2026-02-08,Phone,US,22499.0,34,2516.46
2026-02-09,Tablet,Europe,6579.52,14,1542.17
2026-02-09,Phone,Asia,16169.37,22,2296.8
2026-02-10,Phone,Asia,13975.8,23,2010.95
2026-02-10,Tablet,Europe,1924.96,4,510.94
2026-02-11,Phone,Asia,10637.74,14,2488.84
2026-02-11,Laptop,Asia,15018.44,9,2292.97
2026-02-11,Laptop,Middle East,5582.45,4,1645.8
2026-02-12,Tablet,India,3846.88,9,1236.13
2026-02-12,Laptop,US,21284.4,12,3563.47
2026-02-13,Tablet,Asia,14438.74,31,3043.18
2026-02-13,Phone,US,8771.42,13,1240.05
2026-02-13,Tablet,Asia,6903.4,12,1713.59
2026-02-13,Laptop,India,4366.15,3,781.28
2026-02-13,Smartwatch,India,2812.83,11,827.97
2026-02-14,Laptop,US,12653.82,7,1597.78
2026-02-14,Smartwatch,India,3685.48,11,953.47
2026-02-14,Tablet,Asia,3389.2,7,635.53
2026-02-15,Phone,Asia,7096.17,12,804.11
2026-02-15,Headphones,Asia,3439.9,27,585.01
2026-02-15,Phone,Middle East,6513.88,9,700.68
2026-02-16,Phone,India,1844.38,3,324.32
2026-02-17,Phone,Europe,12965.85,19,1465.63
2026-02-17,Laptop,Europe,3641.19,2,1079.87
2026-02-17,Laptop,Europe,1390.39,1,262.31
2026-02-18,Laptop,US,9222.91,5,2289.17
2026-02-18,Smartwatch,Europe,4035.04,12,928.66
2026-02-19,Phone,Europe,4165.58,6,1137.54
2026-02-19,Phone,Asia,18557.89,22,2913.11
2026-02-19,Phone,Asia,3931.77,7,1211.2
2026-02-19,Phone,US,14633.89,18,2051.32
2026-02-19,Laptop,Middle East,9063.17,5,1329.5
2026-02-20,Tablet,Middle East,5153.78,10,835.3
2026-02-20,Laptop,India,3302.61,2,639.59
2026-02-20,Phone,Asia,7751.65,9,886.87
2026-02-20,Laptop,Asia,3858.8,2,1263.91
2026-02-21,Phone,US,21773.65,37,2834.0
2026-02-21,Smartwatch,US,1403.19,4,189.57
2026-02-21,Phone,US,4174.41,6,619.67
2026-02-21,Tablet,Europe,7148.58,16,1487.39
2026-02-21,Smartwatch,India,6359.55,17,1437.69
2026-02-21,Laptop,Asia,3166.94,2,770.65
2026-02-22,Smartwatch,India,6584.71,21,1049.98
2026-02-22,Phone,US,17287.36,23,2991.0
2026-02-22,Headphones,Asia,5249.45,32,925.23
2026-02-22,Laptop,Middle East,5918.66,3,1524.28
2026-02-22,Headphones,US,3978.03,25,1163.59
2026-02-22,Phone,US,17153.98,20,3523.94
2026-02-22,Phone,India,23409.29,37,3396.99
2026-02-23,Phone,Middle East,5961.17,8,1727.46
2026-02-23,Tablet,India,7855.51,15,1482.45
2026-02-23,Headphones,Europe,2778.89,21,547.1
2026-02-23,Headphones,Asia,2996.99,21,1180.08
2026-02-23,Phone,India,11676.65,13,2118.45
2026-02-23,Smartwatch,Asia,3954.82,16,653.22
2026-02-23,Laptop,Asia,7416.03,4,1500.81
2026-02-23,Laptop,India,9188.39,5,2655.32
2026-02-24,Phone,Asia,4963.61,8,1143.2
2026-02-24,Headphones,Europe,2023.65,13,556.84
2026-02-25,Phone,Asia,7094.1,10,1354.41
2026-02-25,Tablet,Europe,14168.11,25,2157.15
2026-02-25,Headphones,Middle East,3277.4,22,668.15
2026-02-25,Phone,Europe,3963.11,5,595.46
2026-02-25,Laptop,Asia,7351.96,6,1911.19
2026-02-25,Phone,Middle East,27687.23,35,4131.52
2026-02-26,Phone,Europe,1297.41,2,324.39
2026-02-26,Laptop,Asia,14674.14,10,2191.1
2026-02-26,Laptop,US,11692.26,9,1235.75
2026-02-26,Tablet,India,3948.24,9,913.13
2026-02-26,Laptop,India,5485.93,4,1407.89
2026-02-26,Tablet,US,6540.83,12,923.02
2026-02-26,Headphones,US,13359.53,80,1991.0
2026-02-27,Tablet,Asia,4562.66,8,706.45
2026-02-27,Tablet,India,11839.3,27,2250.45
2026-02-28,Tablet,Middle East,7305.15,16,1490.84
2026-02-28,Laptop,India,6113.22,4,890.83
2026-02-28,Phone,Asia,18025.19,22,1937.72
2026-03-01,Smartwatch,Asia,4980.46,16,711.23
2026-03-01,Tablet,US,5324.96,11,954.31
2026-03-01,Phone,Asia,10961.99,15,2129.25
2026-03-01,Laptop,India,3086.71,2,547.03
2026-03-01,Phone,Asia,8957.91,15,770.89
2026-03-02,Smartwatch,US,6436.59,19,1470.07
2026-03-02,Phone,Asia,12443.29,17,2338.77
2026-03-02,Phone,India,7541.11,10,1590.52
2026-03-02,Laptop,Europe,6564.37,4,1284.8
2026-03-02,Laptop,Middle East,6088.12,4,902.01
2026-03-02,Smartwatch,US,14172.41,39,2966.01
2026-03-02,Phone,India,9215.95,15,1906.27
2026-03-03,Headphones,India,2089.87,13,453.99
2026-03-03,Phone,US,14633.54,21,2534.05
2026-03-04,Headphones,Europe,5561.93,43,1371.56
2026-03-04,Phone,India,4907.7,8,1199.53
2026-03-04,Phone,US,5722.96,7,1033.79
2026-03-04,Tablet,India,8169.25,17,1579.18
2026-03-04,Smartwatch,Asia,3374.99,11,596.88
2026-03-04,Smartwatch,India,2308.41,9,984.71
2026-03-04,Tablet,US,6088.72,13,895.61
2026-03-04,Smartwatch,India,4002.14,14,768.85
2026-03-05,Phone,US,8650.77,12,1430.69
2026-03-05,Smartwatch,Asia,4869.35,18,1457.54
2026-03-05,Laptop,US,7592.93,4,1673.33
2026-03-06,Headphones,India,6434.82,37,1732.13
2026-03-06,Headphones,Middle East,3261.94,20,1309.14
2026-03-06,Headphones,Middle East,1000.0,6,337.45
2026-03-06,Laptop,India,3605.29,2,474.21
2026-03-06,Laptop,Middle East,9126.6,7,1148.09
2026-03-07,Headphones,Asia,2471.9,19,558.67
2026-03-08,Phone,India,7328.06,10,1422.76
2026-03-08,Smartwatch,Middle East,6270.9,19,935.8
2026-03-08,Headphones,Middle East,5985.71,36,1340.89
2026-03-08,Phone,Europe,6050.19,8,833.29
2026-03-08,Headphones,India,9720.91,53,1717.87
2026-03-08,Laptop,India,13287.69,10,1779.92
2026-03-08,Headphones,Asia,8561.26,51,3185.05
2026-03-08,Headphones,Asia,8351.84,54,1898.58
2026-03-09,Phone,Middle East,3381.07,4,502.19
2026-03-09,Laptop,US,10528.21,8,1243.57
2026-03-09,Smartwatch,Middle East,1690.14,6,315.49
2026-03-09,Phone,Europe,8178.98,14,1794.75
2026-03-09,Tablet,US,11563.82,26,2018.86
2026-03-09,Laptop,India,3559.87,2,732.91
2026-03-09,Laptop,Asia,2428.19,1,603.57
2026-03-10,Laptop,US,3559.4,3,594.61
2026-03-10,Laptop,Asia,20808.02,13,2753.02
2026-03-10,Phone,US,13822.46,20,1729.34
2026-03-10,Tablet,India,6511.81,10,1941.64
2026-03-10,Phone,India,3301.15,4,933.77
2026-03-11,Phone,US,6313.11,9,939.39
2026-03-11,Phone,Asia,6811.51,10,959.02
2026-03-11,Phone,India,5468.38,9,1052.26
2026-03-11,Laptop,Asia,6727.21,4,1423.9
2026-03-11,Tablet,Europe,2694.83,5,772.41
2026-03-12,Headphones,Asia,6675.17,39,1293.59
2026-03-13,Phone,US,12920.67,15,1259.08
2026-03-13,Smartwatch,Asia,2103.92,7,654.66
2026-03-13,Headphones,Middle East,3631.02,21,1016.82
2026-03-13,Laptop,US,9471.76,6,2113.58
2026-03-13,Smartwatch,India,1712.97,5,658.28
2026-03-14,Smartwatch,Asia,6806.57,21,1496.34
2026-03-14,Phone,Asia,6552.01,8,1352.37
2026-03-14,Laptop,India,1440.56,1,354.11
2026-03-14,Smartwatch,Middle East,8343.54,24,1886.41
2026-03-15,Headphones,Asia,5988.66,33,978.61
2026-03-15,Phone,Asia,15021.54,23,2432.74
2026-03-16,Headphones,Asia,8600.03,52,1267.35
2026-03-16,Headphones,Middle East,1812.83,11,383.67
2026-03-16,Headphones,US,1000.0,6,122.35
2026-03-17,Headphones,US,2046.91,15,469.89
2026-03-17,Headphones,US,1000.0,8,116.35
2026-03-17,Phone,Middle East,9679.73,15,1750.85
2026-03-18,Phone,Middle East,14208.81,22,1741.57
2026-03-18,Tablet,India,2624.79,5,418.47
2026-03-18,Smartwatch,Asia,3062.54,11,973.78
2026-03-18,Phone,Middle East,15732.57,23,2344.73
2026-03-18,Tablet,Europe,3356.69,6,739.09
2026-03-18,Tablet,Europe,10393.85,18,1922.45
2026-03-18,Laptop,Europe,5827.37,4,1264.59
2026-03-18,Headphones,India,3463.39,27,886.19
2026-03-18,Smartwatch,India,3394.98,12,1213.68
2026-03-19,Tablet,India,4924.33,11,948.4
2026-03-19,Laptop,India,2114.57,1,610.28
2026-03-20,Laptop,US,2872.42,2,640.63
2026-03-20,Tablet,Europe,5459.07,9,1732.16
2026-03-20,Laptop,India,13285.94,8,1977.52
2026-03-21,Laptop,Middle East,13050.58,10,1706.18
2026-03-21,Laptop,US,8508.3,6,1153.46
2026-03-21,Phone,Asia,11650.41,16,2149.31
2026-03-21,Phone,Asia,7712.3,12,990.45
2026-03-21,Laptop,India,8837.17,5,1563.8
2026-03-21,Laptop,US,6152.27,5,1289.97
2026-03-22,Phone,India,15671.47,21,2379.97
2026-03-22,Headphones,Europe,9541.49,59,2434.95
2026-03-22,Tablet,Europe,3008.25,6,517.6
2026-03-23,Phone,US,11578.94,14,1668.87
2026-03-23,Smartwatch,Europe,20235.25,57,3581.13
2026-03-24,Laptop,US,8340.59,6,1212.39
2026-03-24,Headphones,India,2728.52,21,872.52
2026-03-24,Tablet,Middle East,15970.61,36,2410.22
2026-03-24,Smartwatch,US,10308.01,29,1338.03
2026-03-24,Headphones,Europe,4734.51,32,1158.64
2026-03-24,Headphones,US,12172.41,68,3137.73
2026-03-24,Headphones,Asia,7734.67,42,1761.54
2026-03-25,Phone,India,6390.09,10,1297.69
2026-03-25,Phone,US,20097.74,29,3325.61
2026-03-26,Headphones,Middle East,3900.18,22,977.29
2026-03-26,Laptop,US,6695.7,4,1216.57
2026-03-26,Headphones,Asia,7823.51,62,2039.71
2026-03-26,Phone,Middle East,13920.2,16,1715.15
2026-03-26,Laptop,Middle East,8251.96,5,2388.97
